"rzone10","ezone10","county10","isMPA","isPDX","is4co","isMult","isClack","isWash","isClarkco"
1,9,1,1,1,1,1,0,0,0
2,9,1,1,1,1,1,0,0,0
3,9,1,1,1,1,1,0,0,0
4,9,1,1,1,1,1,0,0,0
5,9,1,1,1,1,1,0,0,0
6,9,1,1,1,1,1,0,0,0
7,18,1,1,1,1,1,0,0,0
8,18,1,1,1,1,1,0,0,0
9,18,1,1,1,1,1,0,0,0
10,18,1,1,1,1,1,0,0,0
11,10,1,1,1,1,1,0,0,0
12,10,1,1,1,1,1,0,0,0
13,8,1,1,1,1,1,0,0,0
14,8,1,1,1,1,1,0,0,0
15,8,1,1,1,1,1,0,0,0
16,8,1,1,1,1,1,0,0,0
17,6,1,1,1,1,1,0,0,0
18,6,1,1,1,1,1,0,0,0
19,6,1,1,1,1,1,0,0,0
20,6,1,1,1,1,1,0,0,0
21,6,1,1,1,1,1,0,0,0
22,8,1,1,1,1,1,0,0,0
23,8,1,1,1,1,1,0,0,0
24,8,1,1,1,1,1,0,0,0
25,8,1,1,1,1,1,0,0,0
26,10,1,1,1,1,1,0,0,0
27,10,1,1,1,1,1,0,0,0
28,10,1,1,1,1,1,0,0,0
29,10,1,1,1,1,1,0,0,0
30,7,1,1,1,1,1,0,0,0
31,7,1,1,1,1,1,0,0,0
32,7,1,1,1,1,1,0,0,0
33,7,1,1,1,1,1,0,0,0
34,6,1,1,1,1,1,0,0,0
35,5,1,1,1,1,1,0,0,0
36,5,1,1,1,1,1,0,0,0
37,5,1,1,1,1,1,0,0,0
38,5,1,1,1,1,1,0,0,0
39,7,1,1,1,1,1,0,0,0
40,7,1,1,1,1,1,0,0,0
41,7,1,1,1,1,1,0,0,0
42,7,1,1,1,1,1,0,0,0
43,7,1,1,1,1,1,0,0,0
44,7,1,1,1,1,1,0,0,0
45,7,1,1,1,1,1,0,0,0
46,11,1,1,1,1,1,0,0,0
47,11,1,1,1,1,1,0,0,0
48,11,1,1,1,1,1,0,0,0
49,14,1,1,1,1,1,0,0,0
50,14,1,1,1,1,1,0,0,0
51,14,1,1,1,1,1,0,0,0
52,15,1,1,1,1,1,0,0,0
53,15,1,1,1,1,1,0,0,0
54,15,1,1,1,1,1,0,0,0
55,15,1,1,1,1,1,0,0,0
56,17,1,1,1,1,1,0,0,0
57,17,1,1,1,1,1,0,0,0
58,15,1,1,1,1,1,0,0,0
59,14,1,1,1,1,1,0,0,0
